SaleID,ProductName,Category,Amount,SaleDate
82,"Screen Guard","Accessories",300.00,2026-02-23 15:00:00.0000000
83,"Backlit Case","Accessories",1500.00,2026-02-23 09:15:00.0000000
84,"Pen Drive","Electronics",600.00,2026-02-23 12:45:00.0000000
85,"Earbuds","Electronics",2800.00,2026-02-23 14:00:00.0000000
86,"Cooling Pad","Accessories",1100.00,2026-02-23 17:30:00.0000000
87,"Game Console","Electronics",40000.00,2026-02-23 10:00:00.0000000
88,"Joystick","Accessories",2500.00,2026-02-23 11:30:00.0000000
89,"VR Headset","Electronics",35000.00,2026-02-23 13:45:00.0000000
90,"Graphics Card","Electronics",60000.00,2026-02-23 15:00:00.0000000
91,"RAM Stick","Electronics",4000.00,2026-02-23 16:20:00.0000000
92,"Processor","Electronics",25000.00,2026-02-23 17:00:00.0000000
93,"Motherboard","Electronics",15000.00,2026-02-23 18:30:00.0000000
94,"Chiller","Accessories",5000.00,2026-02-23 19:15:00.0000000
95,"Power Supply","Electronics",6000.00,2026-02-23 20:00:00.0000000
96,"Case Fan","Accessories",1200.00,2026-02-23 21:00:00.0000000
97,"Gaming Mouse","Accessories",3500.00,2026-02-23 10:00:00.0000000
98,"Mechanical Keyboard","Accessories",8500.00,2026-02-23 11:30:00.0000000
99,"SSD Drive","Electronics",4500.00,2026-02-23 10:30:00.0000000
100,"Office Chair","Furniture",8500.00,2026-02-23 12:00:00.0000000
101,"Wireless Mouse","Accessories",1200.00,2026-02-23 14:45:00.0000000
102,"Python Book","Education",800.00,2026-02-23 16:15:00.0000000
103,"LED Desk Lamp","Furniture",2200.00,2026-02-23 18:00:00.0000000
104,"Bluetooth Speaker","Electronics",3500.00,2026-02-23 09:15:00.0000000
105,"Backpack","Accessories",1800.00,2026-02-23 11:45:00.0000000
106,"Power Strip","Electronics",900.00,2026-02-23 13:20:00.0000000
107,"Webcam HD","Electronics",4200.00,2026-02-23 15:50:00.0000000
108,"Notebook Set","Education",450.00,2026-02-23 17:30:00.0000000
109,"Standing Desk","Furniture",15000.00,2026-02-23 19:10:00.0000000
110,"USB-C Hub","Accessories",2500.00,2026-02-23 21:00:00.0000000
